Genus	predicted_mobility	Relaxase	PCN	Multiple_replicons	Length_chr	gc	Number_plasmids	Predicted_ptu	Logsize
Salmonella	mobilizable	No MOB	86.6823880637496	Single replicons	4809628	0.555343511450382	6	PTU-E11	3.32139127831169
Salmonella	mobilizable	MOBP	86.4747167495427	Single replicons	5002914	0.55146840700089	2	PTU-E1	3.52775875252097
Enterobacter	mobilizable	MOBP	86.4730431249352	Single replicons	4797943	55.5612903225807	4	PTU-E3	3.58827170684233
Escherichia	mobilizable	MOBF	85.1257425314935	Single replicons	5050943	46.8956823195714	2	PTU-E1	3.50147007210041
Escherichia	mobilizable	MOBF	85.0190010951026	Single replicons	5464804	43.4059286146401	2	PTU-E1	3.51930284923543
Enterobacter	mobilizable	Multiple MOB	84.8818806941813	Single replicons	4870455	51.1254019292605	5	PTU-E3	3.66885164808252
Klebsiella	mobilizable	Multiple MOB	84.8221409014362	Single replicons	5347743	0.545143833665622	5	PTU-E3	3.54543082946535
Salmonella	mobilizable	MOBF	83.824231176556	Single replicons	4740209	0.460216660440792	5	PTU-E1	3.42764837118693
Klebsiella	non-mobilizable	No MOB	81.8696059121915	Multiple replicons	6041083	0.500665582014495	9	PTU-E71	3.83001093593612
Enterobacter	mobilizable	Multiple MOB	81.4711146864398	Single replicons	4770039	52.5193393267824	5	PTU-E3	3.67970038087196
Klebsiella	non-mobilizable	No MOB	81.0516439214564	Single replicons	5959281	0.489310593322123	8	PTU-E71	3.61940641088678
Enterobacter	mobilizable	No MOB	79.583754489568	Single replicons	4398880	51.4835605453087	3	PTU-E52	3.39689644914252
Salmonella	mobilizable	No MOB	79.2019159679622	Single replicons	4841666	0.430204859456884	3	PTU-E58	3.62304243424638
Escherichia	mobilizable	No MOB	78.9690752391857	Single replicons	4655461	51.8685567010309	6	PTU-E9	3.19089171692217
Klebsiella	non-mobilizable	No MOB	78.6467538012972	Single replicons	5460256	0.445506692160612	6	PTU-E71	3.62159167585922
Escherichia	mobilizable	Multiple MOB	78.6402764764258	Single replicons	4968007	50.3071161048689	3	PTU-E14	3.82445127003661
Escherichia	mobilizable	No MOB	77.9837442765221	Single replicons	4977635	51.0006455777921	4	PTU-E9	3.19005141775921
Escherichia	non-mobilizable	No MOB	77.526237210787	Single replicons	4829544	50.199203187251	9	PTU-E9	3.17782497186468
Escherichia	mobilizable	No MOB	77.3706211594888	Single replicons	5278133	44.1114616193481	11	PTU-E9	3.27921051260139
Enterobacter	mobilizable	No MOB	76.9091626264622	Single replicons	4935101	51.4629258517034	6	PTU-E52	3.39707054995941
Escherichia	mobilizable	No MOB	76.7344886124482	Single replicons	5217608	51.4006514657981	3	PTU-E9	3.18610837981321
Escherichia	mobilizable	MOBP	76.0759553066844	Single replicons	4655461	48.5979907032539	6	PTU-E1	3.82406071741865
Escherichia	mobilizable	Multiple MOB	75.7201703188295	Single replicons	4742390	51.2006861063465	4	PTU-E3	3.66875854175096
Escherichia	mobilizable	No MOB	75.6104276455039	Single replicons	5018637	51.8111254851229	4	PTU-E9	3.18920948958231
Escherichia	mobilizable	No MOB	75.3732247287535	Single replicons	5389834	51.4762516046213	2	PTU-E9	3.19256745333655
Klebsiella	non-mobilizable	No MOB	75.0748595485623	Single replicons	5736562	0.446593001841621	5	PTU-E71	3.51295107997249
Escherichia	mobilizable	MOBF	74.9995203405875	Single replicons	4986352	45.7209392586843	4	PTU-E1	3.71206014246107
Escherichia	mobilizable	No MOB	74.566634836007	Single replicons	5145105	55.5820610687023	4	PTU-E11	3.32139127831169
Klebsiella	mobilizable	MOBC	74.2741061070166	Single replicons	5509882	0.551538627071229	7	PTU-E4	3.96820266814285
Salmonella	mobilizable	MOBF	74.0334555985237	Single replicons	5002914	0.433564326604399	2	PTU-E1	3.5210072524086
Enterobacter	mobilizable	Multiple MOB	73.5752164509197	Multiple replicons	5061465	53.9313149570719	2	PTU-E3	3.64601140959124
Escherichia	mobilizable	No MOB	72.0995242594364	Single replicons	4727820	51.8685567010309	5	PTU-E9	3.19089171692217
Klebsiella	non-mobilizable	No MOB	71.913546258741	Single replicons	5460256	0.463956269217629	6	PTU-E71	3.46642272243379
Escherichia	non-mobilizable	No MOB	70.9768112632492	Single replicons	4836724	51.3960703205791	8	PTU-E11	3.28645646974698
Klebsiella	non-mobilizable	No MOB	70.9344978044003	Single replicons	5224332	0.437878787878788	1	PTU-E71	3.59769518592551
Salmonella	mobilizable	No MOB	70.7732795891875	Single replicons	4739617	0.503519822156354	5	PTU-E76	3.43120288455652
Staphylococcus	mobilizable	No MOB	70.5205559595922	Multiple replicons	2878495	0.28736	2	PTU-Bac16	3.49485002168009
Escherichia	mobilizable	No MOB	70.20665409525	Single replicons	4727820	45.6496960486322	5	PTU-E1	3.7213158806059
Salmonella	mobilizable	MOBP	70.0564832625126	Single replicons	4858857	0.552920249036466	4	PTU-E1	3.5280163411892
Escherichia	mobilizable	No MOB	68.7033930636888	Single replicons	4967373	51.0006455777921	4	PTU-E9	3.19005141775921
Klebsiella	non-mobilizable	No MOB	68.5125497277463	Multiple replicons	5319756	0.443497870207968	6	PTU-E71	3.60108172778402
Escherichia	mobilizable	MOBQ	67.477713094369	Single replicons	5038168	51.4532019704434	5	PTU-E10	3.60852603357719
Klebsiella	non-mobilizable	No MOB	66.9688468019213	Single replicons	5280684	0.443497870207968	2	PTU-E71	3.60108172778402
Escherichia	mobilizable	MOBF	66.7991042212521	Single replicons	5050942	46.8956823195714	2	PTU-E1	3.50147007210041
Salmonella	mobilizable	No MOB	66.7785707254037	Single replicons	4633429	0.555555555555556	5	PTU-E11	3.32159843046534
Klebsiella	mobilizable	MOBP	66.2516396431131	Single replicons	5482451	0.475404255319149	6	PTU-E22	3.76900787094377
Salmonella	mobilizable	MOBQ	65.8014850901436	Single replicons	4666130	0.483516483516484	6	PTU-E7	3.87285524470481
Escherichia	mobilizable	MOBP	65.530741394806	Single replicons	5712798	55.2030833086273	8	PTU-E1	3.5280163411892
Enterobacter	mobilizable	MOBP	64.7963836734257	Single replicons	4763122	55.4931640625	3	PTU-E3	3.61235994796777
Salmonella	mobilizable	MOBF	64.3103249839925	Multiple replicons	4861581	0.452928549524686	6	PTU-E1	3.81438079446994
Escherichia	mobilizable	MOBF	63.4886375815689	Single replicons	5050942	46.8956823195714	2	PTU-E1	3.50147007210041
Klebsiella	mobilizable	MOBP	63.2649268854587	Single replicons	6051148	0.589193825042882	3	PTU-E37	3.54381980514266
Klebsiella	mobilizable	Multiple MOB	63.0432290147393	Single replicons	6041693	0.512749089350761	4	PTU-E3	3.66903780088516
Escherichia	mobilizable	MOBQ	62.966562298493	Single replicons	5189151	51.4032496307238	9	PTU-E10	3.60873991906879
Klebsiella	mobilizable	Multiple MOB	62.6034851843814	Single replicons	5736562	0.514763576295684	5	PTU-E3	3.68511446904654
Escherichia	mobilizable	No MOB	62.3903656896971	Single replicons	4798027	51.063829787234	5	PTU-E9	3.1906117978136
Klebsiella	non-mobilizable	No MOB	61.6829491001509	Single replicons	5850397	0.446286065070596	8	PTU-E71	3.51295107997249
Escherichia	non-mobilizable	No MOB	61.4704088312516	Single replicons	4734593	50.199203187251	4	PTU-E9	3.17782497186468
Escherichia	mobilizable	MOBP	61.2351530238514	Multiple replicons	4829544	53.1119311193112	9	PTU-E14	3.60906054993009
Salmonella	mobilizable	No MOB	60.9195070617203	Multiple replicons	4906732	0.410816542948038	4	PTU-E58	3.67348169707335
Klebsiella	non-mobilizable	No MOB	60.5209633057454	Single replicons	5264949	0.431556632344034	3	PTU-E51	3.51877706892677
Escherichia	mobilizable	No MOB	60.1597031082132	Single replicons	4993064	51.1297611362169	4	PTU-E9	3.19005141775921
Escherichia	mobilizable	No MOB	60.0800365852976	Single replicons	4583330	51.5796260477112	2	PTU-E9	3.1906117978136
Klebsiella	mobilizable	Multiple MOB	59.4405290038691	Single replicons	5330888	0.545143833665622	5	PTU-E3	3.54543082946535
Escherichia	non-mobilizable	No MOB	58.9513514284138	Single replicons	4910688	50.265604249668	3	PTU-E9	3.17782497186468
Escherichia	mobilizable	MOBQ	57.9652857972203	Single replicons	5259387	49.8898947883533	4	PTU-E10	3.61140463771159
Enterobacter	mobilizable	MOBP	57.9301268800034	Single replicons	4766311	55.5870967741936	3	PTU-E3	3.58827170684233
Klebsiella	mobilizable	MOBP	57.5309373994597	Single replicons	5314772	0.532852165256347	5	PTU-E3	3.60400993241223
Klebsiella	mobilizable	Multiple MOB	57.4450678449216	Single replicons	5992775	0.543824701195219	6	PTU-E3	3.54580175715928
Salmonella	mobilizable	MOBP	56.9137304835387	Single replicons	4968488	0.539896128423041	2	PTU-E3	3.62695595143545
Escherichia	non-mobilizable	No MOB	56.855933503835	Single replicons	4926657	47.2701149425287	8	PTU-E47	3.31973049433022
Escherichia	mobilizable	No MOB	56.7409600571584	Single replicons	5072830	51.5796260477112	7	PTU-E9	3.1906117978136
Enterobacter	mobilizable	Multiple MOB	56.5735415514601	Single replicons	4485767	52.4984319464771	10	PTU-E3	3.67970038087196
Salmonella	mobilizable	MOBP	56.4124103994109	Single replicons	4679142	0.552459988144635	3	PTU-E14	3.52814507825311
Escherichia	mobilizable	No MOB	56.3538890552753	Single replicons	4805734	44.1114616193481	10	PTU-E9	3.27921051260139
Enterobacter	mobilizable	Multiple MOB	56.016479195699	Single replicons	4950718	52.4775245661719	5	PTU-E3	3.67970038087196
Escherichia	mobilizable	MOBQ	55.3810598824803	Single replicons	4998584	47.3277789067263	4	PTU-E7	3.69205336503408
Klebsiella	mobilizable	No MOB	55.3170866307245	Single replicons	5482451	0.411664899257688	6	PTU-E58	3.67348169707335
Escherichia	non-mobilizable	No MOB	55.2062242370514	Single replicons	4803708	47.1204188481675	4	PTU-E47	3.32242605240595
Escherichia	mobilizable	No MOB	55.1962774075125	Single replicons	4883081	50.199203187251	5	PTU-E9	3.17782497186468
Escherichia	mobilizable	MOBQ	54.8536946513089	Single replicons	5029945	51.2455516014235	3	PTU-E20	3.82891756161669
Escherichia	mobilizable	MOBQ	54.820643165604	Single replicons	4793088	51.4032496307238	5	PTU-E10	3.60873991906879
Klebsiella	mobilizable	No MOB	54.523436078183	Single replicons	5300365	0.492447129909366	4	PTU-E76	3.36492603378998
Escherichia	conjugative	MOBF	54.4675905309469	Multiple replicons	5147947	51.2030191401118	7	PTU-FE	4.89007433918218
Escherichia	mobilizable	Multiple MOB	54.082299001082	Single replicons	4727820	51.2006861063465	5	PTU-E3	3.66875854175096
Klebsiella	mobilizable	MOBP	53.8924542918326	Single replicons	5302120	0.543385490753912	6	PTU-E3	3.54592532935584
Escherichia	mobilizable	No MOB	53.8474910730814	Single replicons	5145105	52.2292993630573	4	PTU-E11	3.49692964807321
Escherichia	mobilizable	MOBF	53.6335167631684	Single replicons	4986352	46.7675812046673	4	PTU-E1	3.50119624202709
Escherichia	mobilizable	No MOB	53.5946889438184	Single replicons	5017462	51.0006455777921	3	PTU-E9	3.19005141775921
Enterobacter	mobilizable	No MOB	53.562365745733	Single replicons	4777672	51.4629258517034	4	PTU-E52	3.39707054995941
Escherichia	mobilizable	MOBQ	52.6735975767472	Single replicons	5031843	51.4608396759146	5	PTU-E10	3.609914410086
Escherichia	mobilizable	MOBQ	52.5257722888762	Single replicons	5130684	51.4608396759146	3	PTU-E10	3.609914410086
Klebsiella	mobilizable	Multiple MOB	51.5073014914786	Single replicons	5302120	0.540216900135563	6	PTU-E3	3.64601140959124
Enterobacter	mobilizable	MOBP	51.4645312229803	Single replicons	4746900	55.517578125	4	PTU-E3	3.61235994796777
Escherichia	mobilizable	MOBQ	51.3927309377325	Single replicons	5259387	47.5130636733114	4	PTU-E7	3.71323846154566
Escherichia	mobilizable	MOBP	51.1446624813724	Multiple replicons	5295653	48.6687219730942	3	PTU-E14	3.85345484136807
Escherichia	mobilizable	Multiple MOB	51.0508236116116	Single replicons	4947577	51.548946716233	6	PTU-E3	3.68502478510571
Escherichia	mobilizable	No MOB	50.9031256124991	Single replicons	5211978	44.1114616193481	4	PTU-E9	3.27921051260139
Enterobacter	mobilizable	Multiple MOB	50.2166561615785	Single replicons	4870455	52.3878139151914	5	PTU-E3	3.68645751046911
Klebsiella	non-mobilizable	No MOB	50.1975861914506	Multiple replicons	5402147	0.465322856166724	4	PTU-E71	3.46642272243379
Enterobacter	mobilizable	No MOB	50.1102352590478	Single replicons	5032884	51.4629258517034	5	PTU-E76	3.39707054995941
Klebsiella	mobilizable	MOBP	50.0442132639169	Single replicons	5245542	0.563450201675458	4	PTU-E3	3.50826030551233
Escherichia	mobilizable	No MOB	49.7173467219969	Single replicons	5112477	55.5555555555556	6	PTU-E11	3.32159843046534
Escherichia	non-mobilizable	No MOB	49.6242080981726	Single replicons	5189151	47.1743295019157	9	PTU-E47	3.31973049433022
Salmonella	mobilizable	No MOB	49.4812353920072	Single replicons	4711862	0.469578783151326	6	PTU-E58	3.50582803385484
Salmonella	mobilizable	Multiple MOB	49.1485107273287	Single replicons	4705038	0.513410999729071	1	PTU-E1	3.56714404519566
Escherichia	mobilizable	No MOB	49.0349340664261	Single replicons	4619411	47.2213693583052	4	PTU-E58	3.51281775856487
Klebsiella	mobilizable	Multiple MOB	48.680168652477	Single replicons	5447767	0.492287183393639	2	PTU-E3	3.72024201828706
Salmonella	mobilizable	No MOB	48.5534451467185	Single replicons	4751442	0.555820610687023	2	PTU-E11	3.32139127831169
Escherichia	non-mobilizable	No MOB	48.4477378282908	Single replicons	4884850	46.2054329371817	4	PTU-E1	4.07114529045108
Klebsiella	mobilizable	MOBP	48.3479179391416	Single replicons	5344451	0.545143833665622	7	PTU-E3	3.54543082946535
Klebsiella	mobilizable	Multiple MOB	48.3050695321271	Multiple replicons	5446973	0.545143833665622	6	PTU-E3	3.54543082946535
Klebsiella	mobilizable	MOBP	48.2687567623152	Single replicons	5959281	0.504866180048662	8	PTU-E3	3.75996985755431
Bacillus	mobilizable	MOBV	48.1318683128919	Single replicons	5210826	0.320815717483213	8	PTU-Bac45	3.60433407310291
Escherichia	mobilizable	MOBQ	48.0837241940586	Single replicons	5107105	51.3912829352376	4	PTU-E10	3.60863298949004
Salmonella	mobilizable	No MOB	47.9940576106403	Single replicons	4722156	0.463993453355155	7	PTU-E52	3.38810120157052
Escherichia	non-mobilizable	No MOB	47.8053702696603	Single replicons	4953189	51.9342872284049	7	PTU-E76	3.27577190016493
Escherichia	mobilizable	No MOB	47.7465753297321	Single replicons	4599406	55.6201550387597	3	PTU-E11	3.31470969295517
Escherichia	mobilizable	MOBF	47.7229337620949	Single replicons	5050942	46.8956823195714	2	PTU-E1	3.50147007210041
Klebsiella	mobilizable	No MOB	47.3619723133063	Single replicons	6051148	0.520029455081002	3	PTU-E63	3.8318697742805
Salmonella	mobilizable	MOBF	47.2304343581101	Single replicons	4904134	0.493765586034913	2	PTU-E1	3.50623435961213
Escherichia	mobilizable	MOBQ	47.1957069055045	Single replicons	4991700	47.5130636733114	5	PTU-E7	3.71323846154566
Klebsiella	mobilizable	No MOB	46.9038253729568	Multiple replicons	5245542	0.514613778705637	4	PTU-E76	3.28239550474253
Enterobacter	mobilizable	MOBP	46.6771642341886	Single replicons	4870455	55.517578125	5	PTU-E3	3.61235994796777
Escherichia	mobilizable	MOBP	46.4880459522041	Single replicons	5326222	48.6687219730942	3	PTU-E14	3.85345484136807
Escherichia	mobilizable	MOBQ	46.0786925411234	Single replicons	4897043	47.5140259237764	5	PTU-E7	3.71340653216769
Klebsiella	non-mobilizable	No MOB	46.0631297841053	Multiple replicons	5231789	0.472245703014934	6	PTU-E71	3.55010599934759
Escherichia	mobilizable	No MOB	45.5862901343746	Single replicons	4900194	54.9738219895288	6	PTU-E1	3.05918461763137
Staphylococcus	mobilizable	No MOB	45.5708124223554	Single replicons	2873063	0.292138268583665	2	PTU-Bac16	3.51441492058037
Salmonella	mobilizable	No MOB	45.3379882788836	Single replicons	4740209	0.437459910198845	5	PTU-E58	3.6699673699085
Escherichia	mobilizable	MOBQ	45.2709800787173	Single replicons	4923370	49.6983130156385	5	PTU-E20	3.90960951049017
Klebsiella	mobilizable	MOBQ	44.9837717354834	Single replicons	5460489	0.472267984623833	7	PTU-E7	3.73743120051458
Escherichia	mobilizable	MOBF	44.7033144575465	Single replicons	5051874	46.8956823195714	2	PTU-E1	3.50147007210041
Salmonella	mobilizable	MOBP	44.5010312369293	Single replicons	4677648	0.504463313738297	2	PTU-E14	3.66209644541792
Escherichia	non-mobilizable	No MOB	44.3975988170886	Single replicons	5186731	50.2990033222591	7	PTU-E9	3.17753649992986
Klebsiella	mobilizable	MOBC	44.3572113055951	Single replicons	5443727	0.546586305701018	2	PTU-E4	4.00522342485814
Escherichia	mobilizable	MOBQ	44.2861276233844	Single replicons	5024955	49.8527968596663	10	PTU-E10	3.61023417533439
Staphylococcus	mobilizable	MOBV	44.2068498152938	Single replicons	2866622	0.300518134715026	4	PTU-Bac21	3.64728514502537
Staphylococcus	mobilizable	No MOB	43.9996144216691	Single replicons	2921067	0.287176207227374	2	PTU-Bac16	3.49512788124293
Escherichia	mobilizable	No MOB	43.9905461896947	Single replicons	4735839	51.610824742268	3	PTU-E9	3.19089171692217
Escherichia	mobilizable	MOBF	43.8386768836823	Single replicons	5050942	46.8956823195714	2	PTU-E1	3.50147007210041
Escherichia	mobilizable	MOBQ	43.5942747860988	Single replicons	4914339	49.8527245949926	6	PTU-E10	3.61002102466414
Klebsiella	mobilizable	Multiple MOB	43.5159968066546	Single replicons	5825890	0.512749089350761	5	PTU-E3	3.66903780088516
Klebsiella	mobilizable	No MOB	43.0840297170996	Multiple replicons	5177702	0.51434533124674	3	PTU-E76	3.28262211287806
Klebsiella	mobilizable	No MOB	42.8554827684364	Single replicons	5227693	0.514613778705637	3	PTU-E52	3.28239550474253
Escherichia	mobilizable	MOBQ	42.5685935030877	Single replicons	5113034	47.5130636733114	6	PTU-E7	3.71323846154566
Enterobacter	mobilizable	Multiple MOB	42.4821297723275	Single replicons	4919282	55.5555555555556	4	PTU-E3	3.56913972547246
Escherichia	non-mobilizable	No MOB	42.4333782423277	Single replicons	5067025	47.2474868358066	5	PTU-E47	3.31993843998031
Enterobacter	mobilizable	No MOB	42.4035363330286	Single replicons	4769962	51.4629258517034	4	PTU-E52	3.39707054995941
Klebsiella	mobilizable	No MOB	41.8994317341528	Single replicons	5446973	0.508045977011494	6	PTU-E3	3.33745926129066
Escherichia	mobilizable	No MOB	41.7773062530933	Single replicons	4679910	44.6648793565684	6	PTU-E9	3.27067883614471
Klebsiella	non-mobilizable	No MOB	41.7332045507868	Single replicons	5367615	0.443497870207968	3	PTU-E71	3.60108172778402
Salmonella	mobilizable	MOBP	41.7269872944453	Single replicons	4870154	0.504681036359678	1	PTU-E1	3.66209644541792
Klebsiella	mobilizable	Multiple MOB	41.250880106076	Single replicons	5396561	0.562829661805771	6	PTU-E3	3.50826030551233
Escherichia	mobilizable	No MOB	41.2253864049363	Single replicons	4600543	55.6201550387597	3	PTU-E11	3.31470969295517
Salmonella	mobilizable	MOBF	41.0589529994584	Single replicons	4902004	0.4325297866445	1	PTU-E51	3.55738688205951
Escherichia	non-mobilizable	No MOB	41.0583787051392	Single replicons	4847148	47.1680152308425	4	PTU-E47	3.32242605240595
Klebsiella	mobilizable	No MOB	40.9828573827333	Single replicons	5296999	0.46483660130719	6	PTU-E52	3.58263143948964
Escherichia	mobilizable	No MOB	40.8831896053891	Single replicons	4796534	51.063829787234	5	PTU-E9	3.1906117978136
Escherichia	mobilizable	MOBP	40.6838503749203	Single replicons	4737856	48.5680011995802	4	PTU-E1	3.82406071741865
Escherichia	mobilizable	MOBQ	40.5908322241057	Single replicons	5142974	47.5324172634024	6	PTU-E7	3.71323846154566
Escherichia	mobilizable	No MOB	40.4354578351703	Single replicons	5012486	51.7396907216495	4	PTU-E9	3.19089171692217
Escherichia	mobilizable	MOBQ	40.4197189548041	Single replicons	5434745	49.3168724279835	7	PTU-E7	3.78354628227035
Staphylococcus	non-mobilizable	No MOB	40.2564211646514	Multiple replicons	2760847	0.302543507362784	2	PTU-Bac16	3.35044185653506
Salmonella	mobilizable	No MOB	40.2017299149524	Single replicons	4750474	0.555820610687023	3	PTU-E11	3.32139127831169
Staphylococcus	mobilizable	No MOB	40.1136471029669	Single replicons	2823979	0.287367405978785	2	PTU-Bac16	3.4929000111087
Klebsiella	mobilizable	MOBP	39.6886954349818	Single replicons	5460489	0.533233756534727	7	PTU-E3	3.60390183173167
Klebsiella	mobilizable	Multiple MOB	39.6830319894285	Single replicons	5266224	0.563450201675458	7	PTU-E3	3.50826030551233
Klebsiella	mobilizable	No MOB	39.6354118241586	Single replicons	5264380	0.46483660130719	6	PTU-E52	3.58263143948964
Escherichia	non-mobilizable	No MOB	39.4537721305751	Single replicons	4939743	47.1367723615712	4	PTU-E47	3.32489949705231
Escherichia	mobilizable	No MOB	39.4221209251881	Single replicons	4599406	51.5151515151515	3	PTU-E9	3.1906117978136
Escherichia	mobilizable	MOBF	39.3233297090768	Multiple replicons	4896043	46.7213114754098	5	PTU-E1	3.50133317864557
Klebsiella	mobilizable	Multiple MOB	39.2926829117113	Single replicons	5778205	0.512749089350761	5	PTU-E3	3.66903780088516
Escherichia	mobilizable	MOBQ	39.048543889168	Single replicons	5205472	51.3626319666094	5	PTU-E10	3.609914410086
Salmonella	mobilizable	MOBQ	38.6282726998006	Single replicons	4865373	0.512526652452026	4	PTU-E19	3.57426282970703
Klebsiella	mobilizable	MOBP	38.4923831367053	Single replicons	5292859	0.538552787663108	5	PTU-E3	3.62479757896076
Escherichia	mobilizable	MOBP	38.4094265034223	Single replicons	4665448	55.1304863582444	2	PTU-E1	3.5278875659527
Escherichia	non-mobilizable	No MOB	38.3879074255603	Single replicons	5012486	47.1680152308425	4	PTU-E47	3.32242605240595
Klebsiella	mobilizable	MOBQ	38.384528198173	Single replicons	5321589	0.517559523809524	14	PTU-E12	3.52633927738984
Escherichia	mobilizable	No MOB	38.2917083370382	Single replicons	5023218	51.0006455777921	8	PTU-E9	3.19005141775921
Enterobacter	mobilizable	MOBP	38.0788369150835	Single replicons	4918388	52.3878139151914	4	PTU-E3	3.68645751046911
Staphylococcus	non-mobilizable	No MOB	38.0139312939503	Single replicons	2814946	0.309964552973612	1	PTU-Bac16	3.40466270087372
Escherichia	non-mobilizable	No MOB	37.8588464563193	Single replicons	4848135	47.1680152308425	4	PTU-E47	3.32242605240595
Escherichia	non-mobilizable	No MOB	37.8021024961138	Single replicons	5205472	47.1996170416467	5	PTU-E47	3.31993843998031
Enterococcus	non-mobilizable	No MOB	37.6583245733856	Single replicons	2735562	0.320109439124487	2	PTU-Lab6	3.46597736828582
Enterobacter	mobilizable	MOBP	37.3526857004548	Single replicons	5032884	52.3672293124743	5	PTU-E3	3.68645751046911
Klebsiella	non-mobilizable	No MOB	37.3420064927082	Single replicons	5531975	0.500665582014495	6	PTU-E71	3.83001093593612
Escherichia	mobilizable	MOBP	37.3005817860621	Multiple replicons	4805734	51.2526340435495	10	PTU-E3	3.63052957142682
Klebsiella	mobilizable	Multiple MOB	37.2716141832197	Single replicons	5318186	0.552327305069671	8	PTU-E14	3.5280163411892
Enterobacter	mobilizable	MOBP	37.2353267833975	Single replicons	4485767	58.6901763224181	10	PTU-E37	3.55303301620244
Escherichia	mobilizable	No MOB	37.1161394065589	Single replicons	5165674	51.0006455777921	10	PTU-E9	3.19005141775921
Escherichia	non-mobilizable	No MOB	36.8530644867283	Single replicons	5010549	50.199203187251	4	PTU-E9	3.17782497186468
Escherichia	mobilizable	MOBQ	36.7599387878776	Single replicons	5023218	47.5130636733114	8	PTU-E7	3.71323846154566
Escherichia	mobilizable	No MOB	36.7181495146519	Single replicons	4666387	51.5030060120241	5	PTU-E63	3.39707054995941
Escherichia	mobilizable	Multiple MOB	36.6642618968894	Single replicons	4727989	51.2006861063465	5	PTU-E3	3.66875854175096
Escherichia	mobilizable	No MOB	36.6587742547546	Single replicons	4727989	45.6496960486322	5	PTU-E1	3.7213158806059
Klebsiella	mobilizable	MOBP	36.5860108494781	Single replicons	5540133	0.522064810291483	5	PTU-E37	3.78823909738217
Escherichia	non-mobilizable	No MOB	36.5082544493467	Single replicons	4897043	47.1996170416467	5	PTU-E47	3.31993843998031
Escherichia	non-mobilizable	No MOB	36.3878069096621	Single replicons	5151251	47.1680152308425	10	PTU-E47	3.32242605240595
Escherichia	mobilizable	MOBP	36.3219886113258	Single replicons	4805734	54.9404761904762	10	PTU-E1	3.52633927738984
Escherichia	mobilizable	No MOB	36.2860712911692	Single replicons	4926657	47.8138663335415	8	PTU-E52	3.50542132758328
Escherichia	mobilizable	MOBQ	36.2547912968909	Single replicons	5189151	49.4120529152376	9	PTU-E10	3.61087300038005
Escherichia	mobilizable	MOBQ	36.2137532777403	Single replicons	5119625	51.3871838939357	2	PTU-E10	3.609914410086
Escherichia	non-mobilizable	No MOB	36.0365284869023	Single replicons	5043071	47.1827759963353	4	PTU-E47	3.33905373570914
Escherichia	mobilizable	MOBQ	35.8004300159293	Multiple replicons	4998584	51.4608396759146	4	PTU-E10	3.609914410086
Klebsiella	non-mobilizable	No MOB	35.5101891016441	Single replicons	5319653	0.56511175898931	7	PTU-E11	3.31344537042641
Klebsiella	non-mobilizable	No MOB	35.1853237697523	Single replicons	5369141	0.443497870207968	3	PTU-E71	3.60108172778402
