Assembly	contig coverage
GCA_003812725.1	CP033816.1	126.65281
GCA_003812805.1	NZ_CP033822.1	1587.731
GCA_003814365.1	NZ_CP033907.1	110.54304
GCA_003814385.1	NZ_CP033908.1	55.293076
GCA_003966485.1	NZ_AP018938.1	553.6575
GCA_003966505.1	NZ_AP018937.1	556.802
GCA_003966525.1	NZ_AP018936.1	538.9422
GCA_003966545.1	NZ_AP018935.1	508.16425
GCA_003967155.2	NZ_AP019192.2	283.1553
GCA_004028355.1	NZ_CP028841.1	185.27965
GCA_004123995.1	NZ_CP032699.1	156.35255
GCA_004124015.1	CP032700.1	204.9529
GCA_004124015.1	CP032701.1	4820.104
GCA_004124075.1	NZ_CP033337.1	46.006954
GCA_004124115.1	NZ_CP033335.1	153.73474
GCA_004124135.1	NZ_CP033336.1	113.42966
GCA_004135875.1	NZ_CP033621.1	150.04066
GCA_006228325.1	NZ_CP040231.1	861.4094
GCA_006364235.1	NZ_CP040997.1	2131.8914
GCA_008693505.1	NZ_CP044091.1	1312.2024
GCA_008693585.1	NZ_CP044090.1	1205.0225
GCA_008694005.1	CP044093.1	2551.2212
GCA_008694005.1	CP044094.1	130.11581
GCA_008694005.1	CP044095.1	136.43474
GCA_008694005.1	CP044096.1	108.62547
GCA_008726365.3	CP136160.1	175.80263
GCA_008726365.3	CP136161.1	1160.8131
GCA_008726525.2	NZ_CP126961.1	40.469864
GCA_008803015.1	NZ_CP043405.1	293.41956
GCA_009664475.1	NZ_CP045931.1	200.08598
GCA_009664495.1	NZ_CP045930.1	208.68558
GCA_009730515.1	NZ_CP046335.1	2044.4749
GCA_009730535.1	NZ_CP046328.1	1492.9329
GCA_009731465.1	NZ_AP021887.1	109.82801
GCA_009738495.1	NZ_CP036531.1	998.40497
GCA_009738555.1	NZ_CP046521.1	186.77777
GCA_009758095.1	CP046629.1	562.7521
GCA_009758095.1	CP046630.1	690.85596
GCA_009832845.1	NZ_CP047120.1	1081.4039
GCA_010993845.2	CP053790.1	218.88448
GCA_010993845.2	CP053791.1	62.5544
GCA_010993865.2	NZ_CP053789.1	206.62791
GCA_010993915.2	CP053792.1	156.23244
GCA_010993915.2	CP053793.1	49.77265
GCA_013000945.1	NZ_CP053027.1	123.91768
GCA_013267495.1	NZ_CP053998.1	3145.952
GCA_013267515.1	NZ_CP053999.1	683.468
GCA_013267695.1	NZ_CP054015.1	996.25977
GCA_013343115.1	NZ_CP054570.1	528.23425
GCA_013488085.1	NZ_CP030017.1	160.63167
GCA_013488105.1	CP030020.1	112.09023
GCA_013488105.1	CP030021.1	279.4414
GCA_013488125.1	NZ_CP030022.1	59.81366
GCA_013488145.1	NZ_CP030023.1	110.54084
GCA_013488165.1	CP031377.1	71.34598
GCA_013488165.1	CP031378.1	57.134422
GCA_013488185.1	NZ_CP031379.1	101.994156
GCA_013822985.1	CP054153.1	1842.6368
GCA_013822985.1	CP054154.1	400.75595
GCA_013822985.1	CP054155.1	1767.2272
GCA_013822985.1	CP054156.1	3142.4688
GCA_014191695.1	NZ_AP023387.1	306.61914
GCA_014191835.1	NZ_AP023388.1	321.11386
GCA_014192005.1	NZ_AP023389.1	311.427
GCA_014192175.1	NZ_AP023390.1	390.81055
GCA_014192345.1	NZ_AP023391.1	269.2809
GCA_014192525.1	NZ_AP023392.1	220.80861
GCA_014192695.1	NZ_AP023393.1	401.7248
GCA_014192895.1	AP023394.1	258.1745
GCA_014192895.1	AP023395.1	4081.2593
GCA_014218075.1	NZ_CP041998.1	61.26707
GCA_014218095.1	NZ_CP041999.1	96.782394
GCA_014218115.1	NZ_CP042000.1	67.32823
GCA_014218135.1	NZ_CP042001.1	74.43098
GCA_014218155.1	NZ_CP042002.1	107.65853
GCA_014621675.1	NZ_CP061071.1	71.15889
GCA_014842815.3	NZ_CP066294.2	640.919
GCA_014843055.1	NZ_CP058740.1	70.353775
GCA_014843075.1	NZ_CP058741.1	62.570457
GCA_014843095.1	NZ_CP058742.1	85.03633
GCA_014874555.1	NZ_CP047248.1	409.1588
GCA_015221735.2	NZ_CP063198.2	438.21823
GCA_015689355.1	NZ_CP065058.1	277.8797
GCA_015689375.1	NZ_CP065059.1	272.98798
GCA_015689395.1	CP065054.1	417.10028
GCA_015689395.1	CP065055.1	12634.929
GCA_015689415.1	CP065056.1	314.7918
GCA_015689415.1	CP065057.1	1007.53284
GCA_015689435.1	NZ_CP065060.1	260.3653
GCA_015689455.1	NZ_CP065061.1	207.46494
GCA_015767555.1	NZ_CP065191.1	285.81345
GCA_016028175.1	NZ_CP065706.1	927.9091
GCA_016028255.1	NZ_CP065707.1	1005.7931
GCA_016126835.1	NZ_CP065927.1	290.2574
GCA_016127275.1	NZ_CP065994.1	1322.7438
GCA_016127535.1	NZ_CP066093.1	737.2919
GCA_016127555.1	NZ_CP066021.1	2443.892
GCA_016127735.1	NZ_CP066041.1	904.72614
GCA_016127875.1	NZ_CP066055.1	1171.8575
GCA_016127915.1	NZ_CP066059.1	2102.86
GCA_016128095.1	CP066069.1	868.8196
GCA_016128095.1	CP066070.1	7733.7563
GCA_016128135.1	NZ_CP066073.1	1103.0583
GCA_016549335.1	NZ_CP067008.1	266.30948
GCA_016549355.1	NZ_CP067010.1	280.05325
GCA_016549375.1	NZ_CP067009.1	238.52724
GCA_016724885.1	CP068057.1	1432.2073
GCA_016724885.1	CP068058.1	5448.3896
GCA_016724885.1	CP068059.1	6645.095
GCA_016725005.1	NZ_CP068213.1	1330.0715
GCA_016725165.1	NZ_CP068056.1	1438.1722
GCA_016725185.1	NZ_CP068060.1	1270.7404
GCA_016889885.1	NZ_CP069558.1	1288.7
GCA_016903355.1	NZ_CP069892.1	1512.3835
GCA_017132795.1	NZ_CP070994.1	248.5897
GCA_017569245.1	NZ_CP071871.1	147.69273
GCA_017638465.1	NZ_CP072112.1	265.6431
GCA_018140985.1	NZ_CP049187.1	98.25925
GCA_019046945.1	NZ_CP077224.1	1727.5765
GCA_019047505.1	NZ_CP077248.1	1363.951
GCA_019047825.1	NZ_CP077259.1	1233.2007
GCA_019048645.1	NZ_CP077404.1	1967.9392
GCA_019334565.1	NZ_CP079724.1	234.972
GCA_019342845.1	NZ_CP049685.1	58.195705
GCA_019342865.1	NZ_CP049686.1	93.100266
GCA_019342885.1	NZ_CP049687.1	62.273834
GCA_019342905.1	NZ_CP049688.1	131.14285
GCA_019342925.1	NZ_CP049689.1	137.38031
GCA_019342945.1	NZ_CP049690.1	142.37955
GCA_019342965.1	NZ_CP049691.1	175.37878
GCA_019342985.1	NZ_CP049692.1	134.85
GCA_019343005.1	NZ_CP049693.1	151.17775
GCA_019343025.1	NZ_CP049694.1	140.19635
GCA_019343045.1	NZ_CP049695.1	45.84814
GCA_019343065.1	NZ_CP049696.1	87.03036
GCA_019343085.1	NZ_CP049697.1	102.48239
GCA_019448315.1	NZ_CP055246.1	29.68445
GCA_019454385.1	NZ_CP079922.1	54.093723
GCA_019456615.1	NZ_CP079923.1	17.9295
GCA_019552345.1	NZ_CP038809.1	152.8073
GCA_020097335.1	NZ_CP083627.1	2037.4933
GCA_020735765.1	NZ_CP085939.1	1524.0159
GCA_021496805.1	NZ_CP053886.1	131.68593
GCA_021496865.1	NZ_CP053889.1	169.63039
GCA_021496885.1	NZ_CP053890.1	112.16801
GCA_021496905.1	NZ_CP053891.1	53.504448
GCA_021496965.1	NZ_CP054055.1	20.78947
GCA_021654455.1	NZ_AP024276.1	96.65865
GCA_021655535.1	NZ_AP020310.1	525.66785
GCA_022075645.1	NZ_CP038251.1	337.2761
GCA_022318385.1	NZ_CP090881.1	50.95064
GCA_022318405.1	NZ_CP090882.1	91.96589
GCA_022318425.1	NZ_CP090883.1	77.56546
GCA_022318445.1	NZ_CP090884.1	89.88129
GCA_022318465.1	NZ_CP090885.1	128.01924
GCA_022318485.1	NZ_CP090886.1	39.949516
GCA_022318505.1	NZ_CP090887.1	93.35597
GCA_022318525.1	NZ_CP090888.1	83.556915
GCA_022318545.1	NZ_CP090889.1	82.859474
GCA_023278025.1	NZ_CP094945.1	572.1477
GCA_024089335.1	NZ_CP089948.1	506.39484
GCA_024089355.1	NZ_CP089949.1	531.32336
GCA_024206595.1	CP100340.1	143.59964
GCA_024206595.1	CP100341.1	484.40988
GCA_024206615.1	CP100338.1	449.26117
GCA_024206615.1	CP100339.1	3053.2693
GCA_024206635.1	CP100332.1	297.0692
GCA_024206635.1	CP100333.1	1789.52
GCA_024206655.1	CP100334.1	66.76574
GCA_024206655.1	CP100335.1	625.729
GCA_024206675.1	CP100336.1	221.32439
GCA_024206675.1	CP100337.1	1282.2783
GCA_024206695.1	CP100326.1	416.75665
GCA_024206695.1	CP100327.1	2188.0364
GCA_024206715.1	CP100328.1	201.42761
GCA_024206715.1	CP100329.1	1372.4268
GCA_024206735.1	CP100330.1	198.41307
GCA_024206735.1	CP100331.1	1384.5138
GCA_024206755.1	CP100418.1	142.51303
GCA_024206755.1	CP100419.1	835.1555
GCA_025643295.1	NZ_CP091451.1	73.66143
GCA_025643315.1	NZ_CP091450.1	87.210686
GCA_026194135.2	NZ_CP113441.1	6730.338
GCA_026194135.2	NZ_CP113440.1	634.73706
GCA_027474865.2	NZ_CP113954.2	544.7907
GCA_029234045.1	NZ_CP117284.1	1505.0823
GCA_029234065.1	NZ_CP117285.1	877.0369
GCA_029234095.1	NZ_CP117286.1	363.2943
GCA_029234115.1	NZ_CP117287.1	556.37604
GCA_029234135.1	NZ_CP117288.1	190.68509
GCA_029234155.1	NZ_CP117289.1	206.7274
GCA_029234175.1	CP118097.1	232.833
GCA_029234175.1	CP118098.1	156.92961
GCA_029542385.1	NZ_CP116393.1	489.92566
GCA_030034695.1	NZ_CP125360.1	350.77448
GCA_030034715.1	NZ_CP125359.1	2778.629
GCA_030127445.1	NZ_CP107038.1	77.51251
GCA_032340315.1	CP135436.1	114.63941
GCA_032340315.1	CP135437.1	99.922325
GCA_032387735.1	CP135591.1	45.807518
GCA_032387735.1	CP135592.1	73.54127
GCA_032594915.1	NZ_CP118733.1	762.3986
GCA_032594935.1	NZ_CP118734.1	807.3811
GCA_032595075.1	CP118735.1	1039.9904
GCA_032595075.1	CP118736.1	8737.756
GCA_032937075.1	NZ_CP136799.1	530.14777
GCA_900618545.1	NZ_LR129840.1	184.5442
GCA_900618555.1	NZ_LR129841.1	178.48622
GCA_900618575.1	NZ_LR129843.1	177.27977
GCA_900618585.1	NZ_LR129844.1	567.5666
GCA_900619585.1	NZ_LR130236.1	636.79205
GCA_900619595.1	LR130237.1	617.017
GCA_900619605.1	LR130238.1	474.8314
GCA_900619615.1	LR130239.1	482.015
GCA_900619625.1	LR130240.1	698.63446
GCA_900622505.2	LR595848.1	143.46248
GCA_900622505.2	LR595849.1	3171.2432
GCA_900692935.1	NZ_LR216050.1	132.85573
GCA_900693025.1	NZ_LR216060.1	143.56316
GCA_900693055.1	NZ_LR216065.1	144.40118
GCA_900693075.1	NZ_LR216064.1	192.54994
GCA_900795205.1	NZ_LR536843.1	143.8424

