Assembly, contig, coverage
GCA_002165305,NZ_CP032280.1,725.1034
GCA_002165345,NZ_CP033133.1,217.62636
GCA_002165345,NZ_CP033132.1,870.93494
GCA_002165345,NZ_CP033131.1,344.40085
GCA_002165345,NZ_CP033130.1,197.84288
GCA_002165345,NZ_CP033129.1,2590.265
GCA_002165345,NZ_CP033128.1,938.1102
GCA_002165345,NZ_CP033127.1,969.4825
GCA_002165345,NZ_CP033126.1,1490.5985
GCA_002165345,NZ_CP033125.1,837.50977
GCA_002165345,NZ_CP033124.1,1188.6992
GCA_002165345,NZ_CP033123.1,899.5124
GCA_002165345,NZ_CP033122.1,3090.726
GCA_002165345,NZ_CP033121.1,1515.4789
GCA_002165345,NZ_CP033120.1,3048.7976
GCA_002165345,NZ_CP033119.1,729.3558
GCA_002165345,NZ_CP033118.1,1024.4891
GCA_002165375,NZ_CP032134.1,300.69412
GCA_002165375,NZ_CP032133.1,266.68857
GCA_002165375,NZ_CP032132.1,459.2416
GCA_002165375,NZ_CP032131.1,1843.405
GCA_002165375,NZ_CP032130.1,4671.7715
GCA_002165375,NZ_CP032129.1,1010.7817
GCA_002165375,NZ_CP032128.1,674.99243
GCA_002165375,NZ_CP032127.1,795.3597
GCA_002761575,NZ_CP024125.1,80.692604
GCA_002761575,NZ_CP024124.1,116.693245
GCA_002902805,NZ_CP026089.2,161.28914
GCA_002902805,NZ_CP026087.2,74.6627
GCA_002902805,NZ_CP026086.2,84.40507
GCA_002902805,NZ_CP026088.1,328.9195
GCA_002902885,NZ_CP026129.1,133.32616
GCA_002902885,NZ_CP026128.1,142.72008
GCA_002902885,NZ_CP026127.1,253.11769
GCA_002902885,NZ_CP026126.1,162.43602
GCA_002902885,NZ_CP026125.1,129.14745
GCA_002934695,NZ_CP026427.1,421.1947
GCA_002934695,NZ_CP026426.1,408.77515
GCA_002934695,NZ_CP026425.1,399.35098
GCA_002934695,NZ_CP026424.1,627.65283
GCA_002934695,NZ_CP026423.1,358.9754
GCA_002934695,NZ_CP026422.1,473.8302
GCA_002934695,NZ_CP026421.1,647.8803
GCA_002934695,NZ_CP026420.1,425.79016
GCA_002934965,NZ_CP026419.1,530.85657
GCA_002934965,NZ_CP026418.1,3369.5933
GCA_002934965,NZ_CP026417.1,1551.5078
GCA_002934965,NZ_CP026416.1,453.34335
GCA_002934965,NZ_CP026415.1,401.7055
GCA_002934965,NZ_CP026414.1,1094.7548
GCA_002934965,NZ_CP026413.1,998.5561
GCA_002934965,NZ_CP026412.1,242.82954
GCA_002947415,NZ_CP026708.1,12351.786
GCA_002947415,NZ_CP026707.1,629.75104
GCA_002947415,NZ_CP026706.1,752.5793
GCA_002947415,NZ_CP026705.1,475.19415
GCA_002947845,NZ_CP026712.1,187.09415
GCA_002947845,NZ_CP026711.1,142.1557
GCA_002948925,NZ_CP026761.1,190.34041
GCA_002950495,NZ_CP026750.2,162.88354
GCA_002950495,NZ_CP026749.2,739.13354
GCA_002950495,NZ_CP026748.1,527.8056
GCA_002951295,NZ_CP014019.1,221.29034
GCA_002980175,NZ_CP058272.1,197.91902
GCA_002996805,NZ_CP027529.1,437.36566
GCA_002996805,NZ_CP027528.1,162.51201
GCA_002999115,NZ_CP027250.2,348.9125
GCA_002999115,NZ_CP027249.2,477.56296
GCA_002999115,NZ_CP027247.2,626.0338
GCA_002999115,NZ_CP027248.1,3709.5056
GCA_002999195,NZ_CP027246.2,122.01329
GCA_002999195,NZ_CP027245.2,73.622375
GCA_002999195,NZ_CP027244.1,395.31012
GCA_002999195,NZ_CP027243.1,57.96087
GCA_002999215,NZ_CP027254.3,413.54434
GCA_002999215,NZ_CP027252.3,2348.8308
GCA_002999215,NZ_CP027251.3,918.5042
GCA_002999215,NZ_CP027253.1,5496.8916
GCA_003006035,NZ_CP027532.1,533.8092
GCA_003006035,NZ_CP027531.1,260.54782
GCA_003006035,NZ_CP027530.1,150.63785
GCA_003010655,NZ_CP027609.1,328.31982
GCA_003010655,NZ_CP027608.1,136.84918
GCA_003010655,NZ_CP027607.1,96.688515
GCA_003010675,NZ_CP027611.1,160.83661
GCA_003010675,NZ_CP027610.1,268.40555
GCA_003024525,NZ_CP035934.2,254.57217
GCA_003024525,NZ_CP035943.1,13534.358
GCA_003024525,NZ_CP035942.1,16458.53
GCA_003024525,NZ_CP035941.1,10111.949
GCA_003024525,NZ_CP035940.1,4842.9897
GCA_003024525,NZ_CP035939.1,3824.2131
GCA_003024525,NZ_CP035938.1,6332.7026
GCA_003024525,NZ_CP035937.1,6034.8994
GCA_003024525,NZ_CP035936.1,299.29144
GCA_003024525,NZ_CP035935.1,3534.7856
GCA_003029495,NZ_CP027124.1,12300.243
GCA_003029495,NZ_CP027123.1,629.7897
GCA_003029495,NZ_CP027122.1,475.0404
GCA_003029495,NZ_CP027121.1,752.1303
GCA_003051965,NZ_CP028574.2,159.33952
GCA_003051965,NZ_CP028573.2,50.71478
GCA_003051965,NZ_CP028572.2,2023.0342
GCA_003051965,NZ_CP028571.1,1371.2118
GCA_003051965,NZ_CP028570.1,422.62766
GCA_003051965,NZ_CP028569.1,71.67444
GCA_003430865,NZ_CP041229.1,223.92845
GCA_003430865,NZ_CP041228.1,813.4853
GCA_003430865,NZ_CP041227.1,166.01439
GCA_003430865,NZ_CP041226.1,762.1064
GCA_003430865,NZ_CP041225.1,270.89493
GCA_003430865,NZ_CP041224.1,169.28728
GCA_003431865,NZ_CP027182.1,484.57224
GCA_003431865,NZ_CP027181.1,9618.266
GCA_003431865,NZ_CP027180.1,2298.44
GCA_003431865,NZ_CP027179.1,2792.721
GCA_003431865,NZ_CP027178.1,554.7063
GCA_003547115,NZ_CP027187.1,12258.787
GCA_003547115,NZ_CP027186.1,3189.3157
GCA_003547115,NZ_CP027185.1,406.73056
GCA_003547115,NZ_CP027184.1,1566.5083
GCA_003547115,NZ_CP027183.1,528.7523
GCA_003812065,NZ_CP033754.1,362.10965
GCA_003812065,NZ_CP033753.1,504.48663
GCA_003812065,NZ_CP033752.1,1493.1449
GCA_003812065,NZ_CP033751.1,1967.3815
GCA_003812205,NZ_CP033864.1,289.26007
GCA_003812205,NZ_CP033863.1,274.41055
GCA_003812205,NZ_CP033862.1,589.4855
GCA_003812225,NZ_CP033867.1,0.8298969
GCA_003812225,NZ_CP033866.1,1613.843
GCA_003812245,NZ_CP033860.1,9568.539
GCA_003812245,NZ_CP033859.1,10066.452
GCA_003812245,NZ_CP033858.1,1303.1613
GCA_003812245,NZ_CP033857.1,1825.3844
GCA_003812385,NZ_CP033770.1,6313.5195
GCA_003812385,NZ_CP033769.1,957.41003
GCA_003812385,NZ_CP033768.1,859.4262
GCA_003931755,NZ_CP034242.1,117.30936
GCA_003931775,NZ_CP034243.1,118.111206
GCA_003938405,NZ_CP078032.1,115.573845
GCA_003938405,NZ_CP078031.1,108.5203
GCA_003938405,NZ_CP078030.1,306.29993
GCA_003938405,NZ_CP078029.1,301.29697
GCA_003938405,NZ_CP078028.1,184.67844
GCA_003938405,NZ_CP078027.1,200.4877
GCA_003939325,NZ_CP079798.1,627.9158
GCA_003939325,NZ_CP079797.1,754.9719
GCA_003939325,NZ_CP079796.1,156.05084
GCA_003939325,NZ_CP079795.1,389.51044
GCA_003939325,NZ_CP079794.1,72.5716
GCA_003939325,NZ_CP079793.1,73.16165
GCA_003939325,NZ_CP079792.1,50.036346
GCA_003939335,NZ_CP078019.1,197.22588
GCA_003939335,NZ_CP078018.1,157.81331
GCA_003939355,NZ_CP078044.1,105.5531
GCA_003939355,NZ_CP078043.1,57.455307
GCA_003939355,NZ_CP078042.1,43.551075
GCA_003948085,NZ_CP039342.1,14.86309
GCA_003948085,NZ_CP039341.1,43.388084
GCA_003948455,NZ_CP039519.1,30.301231
GCA_003948455,NZ_CP039518.1,50.816025
GCA_003948535,NZ_CP039521.1,170.24734
GCA_003948535,NZ_CP039520.1,30.459044
GCA_003949115,NZ_CP039344.1,9.677632
GCA_003949115,NZ_CP039343.1,32.11451
GCA_003949595,NZ_CP039995.1,154.26039
GCA_003949595,NZ_CP039994.1,10.803939
GCA_003949595,NZ_CP039993.1,28.026367
GCA_003949725,NZ_CP039933.1,747.49347
GCA_003949725,NZ_CP039932.1,61.46292
GCA_003949725,NZ_CP039931.1,216.44394
GCA_003949725,NZ_CP039930.1,158.61462
GCA_003952785,NZ_CP022302.1,852.5913
GCA_003952785,NZ_CP022301.1,465.79456
GCA_003952785,NZ_CP022300.1,135.37509
GCA_003952785,NZ_CP022299.1,371.907
GCA_003952785,NZ_CP022298.1,73.90849
GCA_004101685,NZ_CP035184.1,85.67148
GCA_004101705,NZ_CP035183.1,89.483795
GCA_004101725,NZ_CP035185.1,118.69172
GCA_004101745,NZ_CP035186.1,91.769516
GCA_005519135,NZ_CP031381.2,957.0618
GCA_005519135,NZ_CP031382.1,69.779465
GCA_005519135,NZ_CP031380.1,21.361025
GCA_007107525,NZ_CP041590.1,61.45197
GCA_007107525,NZ_CP041589.1,14.3352165
GCA_007107525,NZ_CP041588.1,1368.7231
GCA_007107525,NZ_CP041587.1,39.936047
GCA_008124045,NZ_CP043180.1,92.13368
GCA_008244865,NZ_CP043419.1,103.77066
GCA_008244885,NZ_CP043417.1,101.69622
GCA_008244905,NZ_CP043418.1,104.55728
GCA_008632635,NZ_CP043954.1,17312.445
GCA_008632635,NZ_CP043953.1,536.6925
GCA_009035845,NZ_CP045110.1,54.635838
GCA_009035845,NZ_CP045109.1,708.7093
GCA_009035845,NZ_CP045108.1,636.15393
GCA_009740145,NZ_CP046537.1,172.49086
GCA_009740145,NZ_CP046536.1,173.18867
GCA_009892245,NZ_CP031975.1,3302.2612
GCA_009892245,NZ_CP031974.1,1260.1442
GCA_009892245,NZ_CP031973.1,42.211914
GCA_009892245,NZ_CP031972.1,80.049805
GCA_009892265,NZ_CP031978.1,2791.544
GCA_009892265,NZ_CP031977.1,57.313618
GCA_009892265,NZ_CP031976.1,95.10687
GCA_009892285,NZ_CP031983.1,867.5932
GCA_009892285,NZ_CP031982.1,5271.088
GCA_009892285,NZ_CP031981.1,871.5192
GCA_009892285,NZ_CP031980.1,102.53421
GCA_009892285,NZ_CP031979.1,92.41012
GCA_009892305,NZ_CP031990.1,4016.589
GCA_009892305,NZ_CP031989.1,1504.0521
GCA_009892305,NZ_CP031988.1,59.396107
GCA_009892325,NZ_CP031987.1,3567.6826
GCA_009892325,NZ_CP031986.1,315.5864
GCA_009892325,NZ_CP031985.1,86.52111
GCA_009892325,NZ_CP031984.1,85.12722
GCA_009892345,NZ_CP031997.1,4430.657
GCA_009892345,NZ_CP031996.1,1227.0957
GCA_009892345,NZ_CP031995.1,3273.0027
GCA_009892345,NZ_CP031994.1,787.6698
GCA_009892345,NZ_CP031993.1,574.4821
GCA_009892345,NZ_CP031992.1,30.644506
GCA_009892345,NZ_CP031991.1,67.481026
GCA_009892365,NZ_CP032001.1,187.85164
GCA_009892365,NZ_CP032000.1,483.6494
GCA_009892365,NZ_CP031999.1,68.653336
GCA_009892365,NZ_CP031998.1,82.974464
GCA_009892385,NZ_CP032008.1,609.94977
GCA_009892385,NZ_CP032007.1,1317.0956
GCA_009892385,NZ_CP032006.1,896.4631
GCA_009892385,NZ_CP032005.1,2355.3127
GCA_009892385,NZ_CP032004.1,1057.9318
GCA_009892385,NZ_CP032003.1,183.61946
GCA_009892385,NZ_CP032002.1,393.86703
GCA_012272715,NZ_CP050906.1,1577.3989
GCA_012272715,NZ_CP050905.1,222.91621
GCA_012272715,NZ_CP050904.1,171.45053
GCA_012272735,NZ_CP050910.1,4434.488
GCA_012272735,NZ_CP050909.1,858.3577
GCA_012272735,NZ_CP050908.1,466.21182
GCA_012272735,NZ_CP050907.1,414.05283
GCA_012272755,NZ_CP050913.1,2418.678
GCA_012272755,NZ_CP050912.1,418.89432
GCA_012272755,NZ_CP050911.1,267.81464
GCA_012272775,NZ_CP050915.1,534.44794
GCA_012272775,NZ_CP050914.1,309.65518
GCA_012272795,NZ_CP050918.1,4799.3716
GCA_012272795,NZ_CP050917.1,983.7122
GCA_012272795,NZ_CP050916.1,404.76688
GCA_013372085,NZ_CP053100.1,424.83392
GCA_013372085,NZ_CP053099.1,260.9049
GCA_013372085,NZ_CP053098.1,156.7734
GCA_013787185,NZ_CP059390.1,3146.424
GCA_013787185,NZ_CP059389.1,753.33954
GCA_013787185,NZ_CP059388.1,1301.8384
GCA_013787185,NZ_CP059387.1,204.70415
GCA_013787185,NZ_CP059386.1,376.23727
GCA_014159355,NZ_AP022077.1,152.59962
GCA_014168695,NZ_AP021939.1,1409.375
GCA_014168695,NZ_AP021938.1,98.336365
GCA_014168695,NZ_AP021937.1,59.231895
GCA_014168695,NZ_AP021936.1,105.23987
GCA_014169655,NZ_AP022240.1,194.07683
GCA_014169655,NZ_AP022239.1,113.23064
GCA_014169655,NZ_AP022238.1,254.89752
GCA_014169935,NZ_AP022304.1,498.3238
GCA_014169935,NZ_AP022303.1,135.05043
GCA_014169935,NZ_AP022302.1,255.02258
GCA_014322245,NZ_CP047976.1,1314.767
GCA_014322245,NZ_CP047975.1,420.81628
GCA_014322245,NZ_CP047974.1,241.03217
GCA_014322245,NZ_CP047973.1,346.97968
GCA_014705785,NZ_CP061518.1,51.31282
GCA_014705785,NZ_CP061517.1,69.157684
GCA_014705805,NZ_CP061516.1,38.04999
GCA_014705805,NZ_CP061515.1,55.166218
GCA_014705805,NZ_CP061514.1,79.749115
GCA_014705825,NZ_CP061526.1,789.94727
GCA_014705825,NZ_CP061525.1,69.97879
GCA_014705845,NZ_CP061524.1,43.317375
GCA_014705845,NZ_CP061523.1,58.557476
GCA_014705865,NZ_CP061522.1,24.542934
GCA_014705865,NZ_CP061521.1,59.811134
GCA_014705885,NZ_CP061520.1,59.842396
GCA_014705885,NZ_CP061519.1,78.15414
GCA_015732435,NZ_CP060732.1,205.2926
GCA_015910475,NZ_CP065434.1,882.61597
GCA_015910475,NZ_CP065433.1,1057.5787
GCA_015910475,NZ_CP065432.1,238.62177
GCA_016027055,NZ_CP065666.1,476.90225
GCA_016027055,NZ_CP065665.1,5486.9907
GCA_016027055,NZ_CP065664.1,5666.3228
GCA_016027055,NZ_CP065663.1,5114.979
GCA_016127515,NZ_CP066017.1,4090.8203
GCA_016127515,NZ_CP066016.1,609.54504
GCA_016725945,NZ_CP068201.1,21.085976
GCA_016725945,NZ_CP068200.1,19.386341
GCA_016725945,NZ_CP068199.1,36.17977
GCA_016725945,NZ_CP068198.1,465.5996
GCA_016725945,NZ_CP068197.1,6051.218
GCA_016725945,NZ_CP068196.1,5910.2373
GCA_016725945,NZ_CP068195.1,448.40878
GCA_016726205,NZ_CP068184.1,30.257483
GCA_016726205,NZ_CP068183.1,8104.3306
GCA_016726205,NZ_CP068182.1,396.7099
GCA_016726205,NZ_CP068181.1,301.52597
GCA_016726205,NZ_CP068180.1,479.14908
GCA_016726345,NZ_CP068179.1,5533.156
GCA_016726345,NZ_CP068178.1,9020.716
GCA_016726345,NZ_CP068177.1,679.93866
GCA_016726345,NZ_CP068176.1,434.2831
GCA_016726345,NZ_CP068175.1,410.4443
GCA_016726625,NZ_CP068194.1,17.968092
GCA_016726625,NZ_CP068193.1,3249.896
GCA_016726625,NZ_CP068192.1,7026.777
GCA_016726625,NZ_CP068191.1,3852.8914
GCA_016726625,NZ_CP068190.1,5711.277
GCA_016726625,NZ_CP068189.1,6211.025
GCA_016726625,NZ_CP068188.1,406.38666
GCA_016726625,NZ_CP068187.1,406.94003
GCA_016726625,NZ_CP068186.1,6038.601
GCA_016726625,NZ_CP068185.1,1272.828
GCA_016728805,NZ_CP068210.1,6340.575
GCA_016728805,NZ_CP068209.1,7253.8677
GCA_016728805,NZ_CP068208.1,98.52538
GCA_016728805,NZ_CP068207.1,92.75043
GCA_016728805,NZ_CP068206.1,386.99033
GCA_016728805,NZ_CP068205.1,640.5693
GCA_016728805,NZ_CP068204.1,84.04958
GCA_016728805,NZ_CP068203.1,131.95648
GCA_016728805,NZ_CP068202.1,387.00266
GCA_016889305,NZ_CP069498.1,460.46747
GCA_016889305,NZ_CP069497.1,6667.158
GCA_016889305,NZ_CP069496.1,636.137
GCA_016889345,NZ_CP069508.1,4987.305
GCA_016889345,NZ_CP069507.1,4331.8335
GCA_016889345,NZ_CP069506.1,589.3607
GCA_016889345,NZ_CP069505.1,5035.374
GCA_016889345,NZ_CP069504.1,485.7863
GCA_016889825,NZ_CP069541.1,46.221577
GCA_016889825,NZ_CP069540.1,704.05286
GCA_016889825,NZ_CP069539.1,3289.3152
GCA_016889825,NZ_CP069538.1,3022.2087
GCA_016889825,NZ_CP069537.1,516.78864
GCA_016890065,NZ_CP069586.1,805.1422
GCA_016903135,NZ_CP069842.1,5704.5596
GCA_016903135,NZ_CP069841.1,1198.6941
GCA_016903135,NZ_CP069840.1,563.1196
GCA_016903215,NZ_CP069852.1,5578.842
GCA_016903215,NZ_CP069851.1,624.1849
GCA_016919505,NZ_CP070362.2,43.199497
GCA_016919505,NZ_CP070365.1,14.464215
GCA_016919505,NZ_CP070364.1,314.74933
GCA_016919505,NZ_CP070363.1,1410.9181
GCA_016919525,NZ_CP070361.1,16.811886
GCA_016919525,NZ_CP070360.1,223.27386
GCA_016919525,NZ_CP070359.1,1300.6995
GCA_016919525,NZ_CP070358.1,37.15945
GCA_016939475,NZ_CP070518.1,627.20795
GCA_017753625,NZ_CP072529.1,1226.2179
GCA_017753625,NZ_CP072528.1,586.1408
GCA_017753625,NZ_CP072527.1,328.50537
GCA_017753625,NZ_CP072526.1,293.53232
GCA_018135585,NZ_CP073061.1,348.0733
GCA_018135585,NZ_CP073060.1,269.27155
GCA_018324105,NZ_AP024595.1,315.15897
GCA_018409485,NZ_AP024524.1,74.97794
GCA_018454425,NZ_CP075324.1,402.26505
GCA_018454425,NZ_CP075323.1,119.896065
GCA_018604365,NZ_CP071765.1,172.79036
GCA_018604365,NZ_CP071764.1,616.3431
GCA_018604365,NZ_CP071763.1,167.88786
GCA_018808925,NZ_CP048851.1,256.7206
GCA_018808925,NZ_CP048850.1,3002.9724
GCA_018808925,NZ_CP048849.1,239.0146
GCA_018831125,NZ_CP048135.1,141.74258
GCA_018831125,NZ_CP048134.1,191.07991
GCA_018831125,NZ_CP048133.1,822.0566
GCA_018831125,NZ_CP048132.1,1076.5643
GCA_018831125,NZ_CP048131.1,110.690796
GCA_018831465,NZ_CP049240.1,205.71059
GCA_018831485,NZ_CP049315.1,392.41156
GCA_018831485,NZ_CP049314.1,245.99625
GCA_019046965,NZ_CP077205.1,861.577
GCA_019047185,NZ_CP077235.1,16708.057
GCA_019047185,NZ_CP077234.1,6450.865
GCA_019047185,NZ_CP077233.1,1415.4052
GCA_019047185,NZ_CP077232.1,1090.699
GCA_019047205,NZ_CP077241.1,8089.545
GCA_019047205,NZ_CP077240.1,7943.463
GCA_019047205,NZ_CP077239.1,634.6286
GCA_019047205,NZ_CP077238.1,946.24854
GCA_019048225,NZ_CP077307.1,27666.492
GCA_019048225,NZ_CP077306.1,8414.021
GCA_019048225,NZ_CP077305.1,8827.568
GCA_019048225,NZ_CP077304.1,884.7272
GCA_019048225,NZ_CP077303.1,979.10077
GCA_019048305,NZ_CP077341.1,10103.024
GCA_019048305,NZ_CP077340.1,13836.491
GCA_019048305,NZ_CP077339.1,2139.3984
GCA_019048305,NZ_CP077338.1,986.3657
GCA_019048305,NZ_CP077337.1,976.3904
GCA_019048305,NZ_CP077336.1,1169.5496
GCA_019048405,NZ_CP077365.1,1113.5385
GCA_019048525,NZ_CP077377.1,21210.453
GCA_019048525,NZ_CP077376.1,18996.076
GCA_019048525,NZ_CP077375.1,8281.613
GCA_019048525,NZ_CP077374.1,8197.935
GCA_019048525,NZ_CP077373.1,3667.5645
GCA_019048525,NZ_CP077372.1,330.28342
GCA_019048525,NZ_CP077371.1,2189.9722
GCA_019048525,NZ_CP077370.1,3533.7893
GCA_019048525,NZ_CP077369.1,1081.8748
GCA_019048685,NZ_CP077398.1,1211.505
GCA_019458485,NZ_CP080456.1,853.6536
GCA_019458485,NZ_CP080455.1,924.7592
GCA_019458485,NZ_CP080454.1,865.08234
GCA_019458485,NZ_CP080453.1,1226.6227
GCA_019458485,NZ_CP080452.1,281.73993
GCA_019702905,NZ_AP024709.1,43.067554
GCA_019702905,NZ_AP024708.1,26.417183
GCA_019703265,NZ_AP024801.1,719.11194
GCA_019703265,NZ_AP024800.1,426.4487
GCA_019703265,NZ_AP024799.1,72.888565
GCA_019703265,NZ_AP024798.1,105.59786
GCA_019703285,NZ_AP024813.1,26740.432
GCA_019703285,NZ_AP024812.1,23154.594
GCA_019703285,NZ_AP024811.1,15733.051
GCA_019703285,NZ_AP024810.1,14689.3955
GCA_019703285,NZ_AP024809.1,15622.605
GCA_019703285,NZ_AP024808.1,17477.25
GCA_019703285,NZ_AP024807.1,10208.793
GCA_019703285,NZ_AP024806.1,7618.0815
GCA_019703285,NZ_AP024805.1,9606.542
GCA_019703285,NZ_AP024804.1,6706.893
GCA_019703285,NZ_AP024803.1,944.1294
GCA_019703285,NZ_AP024802.1,908.0996
GCA_019903155,NZ_CP059545.1,254.2088
GCA_019903155,NZ_CP059544.1,590.3371
GCA_019903155,NZ_CP059543.1,86.78444
GCA_019903155,NZ_CP059542.1,84.27469
GCA_019903175,NZ_CP059546.1,49.42173
GCA_019903195,NZ_CP059547.1,125.232285
GCA_019903215,NZ_CP059548.1,97.537544
GCA_020099375,NZ_CP083662.1,10279.064
GCA_020099375,NZ_CP083661.1,5140.5596
GCA_020099375,NZ_CP083660.1,1133.0082
GCA_020099375,NZ_CP083659.1,708.34546
GCA_020099375,NZ_CP083658.1,1259.2706
GCA_020132105,NZ_CP082953.1,331.57135
GCA_020132105,NZ_CP082952.1,219.09314
GCA_020810655,NZ_CP085790.1,661.1042
GCA_020810655,NZ_CP085789.1,889.5901
GCA_020810655,NZ_CP085788.1,105.15978
GCA_020985285,NZ_CP087596.1,11933.132
GCA_020985285,NZ_CP087595.1,2012.7029
GCA_020985285,NZ_CP087594.1,258.246
GCA_021019455,NZ_CP130627.1,92.812645
GCA_021019495,NZ_CP130628.1,56.41209
GCA_021432745,NZ_CP090181.1,1081.5511
GCA_021432745,NZ_CP090180.1,255.42603
GCA_021484905,NZ_CP090607.1,62.75066
GCA_021496295,NZ_CP045051.1,337.9397
GCA_021496325,NZ_CP045100.1,1559.8193
GCA_021496325,NZ_CP045099.1,374.277
GCA_021496345,NZ_CP045102.1,2203.617
GCA_021496345,NZ_CP045101.1,387.0513
GCA_021496365,NZ_CP045107.1,2751.7412
GCA_021496365,NZ_CP045106.1,957.8321
GCA_021496365,NZ_CP045105.1,1630.9836
GCA_021496365,NZ_CP045104.1,1542.9276
GCA_021496365,NZ_CP045103.1,369.5411
GCA_021609965,NZ_CP091172.1,256.56265
GCA_022107375,NZ_CP115633.1,85.158035
GCA_022107375,NZ_CP115632.1,32.25242
GCA_022916135,NZ_CP115638.1,80.91337
GCA_022916135,NZ_CP115637.1,82.45869
GCA_022916555,NZ_CP115628.1,689.45087
GCA_022916555,NZ_CP115627.1,184.7309
GCA_022916555,NZ_CP115626.1,125.15794
GCA_023054035,NZ_CP115640.1,90.42633
GCA_023054035,NZ_CP115639.1,70.42754
GCA_023093135,NZ_CP115642.1,53.988453
GCA_023093135,NZ_CP115641.1,49.073746
GCA_023221535,NZ_CP096575.1,91.59008
GCA_023517155,NZ_CP077827.1,161.77692
GCA_023517155,NZ_CP077826.1,277.30774
GCA_023517175,NZ_CP077829.1,229.99898
GCA_023517175,NZ_CP077828.1,275.06873
GCA_023517195,NZ_CP077831.1,1492.4166
GCA_023517195,NZ_CP077830.1,237.97234
GCA_023517215,NZ_CP077834.1,3554.5222
GCA_023517215,NZ_CP077833.1,357.7251
GCA_023517215,NZ_CP077832.1,290.15588
GCA_023517235,NZ_CP077836.1,483.69507
GCA_023517235,NZ_CP077835.1,387.9984
GCA_023517255,NZ_CP077839.1,1839.7294
GCA_023517255,NZ_CP077838.1,608.9878
GCA_023517255,NZ_CP077837.1,348.7622
GCA_023517695,NZ_CP077842.1,1212.8607
GCA_023517695,NZ_CP077841.1,368.25476
GCA_023517695,NZ_CP077840.1,281.27606
GCA_023517715,NZ_CP077845.1,744.7681
GCA_023517715,NZ_CP077844.1,1022.78107
GCA_023517715,NZ_CP077843.1,287.41592
GCA_023517735,NZ_CP077848.1,711.87195
GCA_023517735,NZ_CP077847.1,617.66327
